order_id,customer_id,order_date,product_name,category,sub_category,region,sales,order_month
CA-2019-160304,BM-11575,1/1/2019,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases,East,73.94,2019-01-01
CA-2019-160304,BM-11575,2/1/2019,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases,East,173.94,2019-01-01
CA-2019-160304,BM-11575,2/1/2019,"GE 30522EE2",Technology,Phones,East,231.98,2019-01-01
CA-2019-125206,LR-16915,3/1/2019,"Recycled Steel Personal File for Hanging File Folders","Office Supplies",Storage,West,114.46,2019-01-01
US-2019-116365,CA-12310,3/1/2019,"Imation Clip USB flash drive - 8 GB",Technology,Accessories,Central,30.08,2019-01-01
US-2019-116365,CA-12310,3/1/2019,"WD My Passport Ultra 1TB Portable External Hard Drive",Technology,Accessories,Central,165.6,2019-01-01
US-2019-116365,CA-12310,3/1/2019,"AT&T 17929 Lendline Telephone",Technology,Phones,Central,180.96,2019-01-01
CA-2019-105207,BO-11350,3/1/2019,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",Furniture,Tables,Central,1592.85,2019-01-01
CA-2019-105207,BO-11350,3/1/2019,"Storex Dura Pro Binders","Office Supplies",Binders,Central,11.88,2019-01-01
US-2019-164630,EB-13975,4/1/2019,"Hewlett Packard 310 Color Digital Copier",Technology,Copiers,South,959.968,2019-01-01
CA-2019-158211,BP-11185,4/1/2019,"Newell 312","Office Supplies",Art,East,4.672,2019-01-01
CA-2019-158211,BP-11185,4/1/2019,"Avery Arch Ring Binders","Office Supplies",Binders,East,104.58,2019-01-01
CA-2019-134474,AJ-10795,5/1/2019,"Logitech MX Performance Wireless Mouse",Technology,Accessories,South,191.472,2019-01-01
CA-2019-134474,AJ-10795,5/1/2019,"Newell 337","Office Supplies",Art,South,5.248,2019-01-01
CA-2019-134474,AJ-10795,5/1/2019,"Logitech B530 USB Headset - headset - Full size, Binaural",Technology,Phones,South,59.184,2019-01-01
CA-2019-101938,DW-13480,7/1/2019,"Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop","Office Supplies",Art,West,34.58,2019-01-01
CA-2019-158806,NM-18520,7/1/2019,"Executive Impressions 13"" Clairmont Wall Clock",Furniture,Furnishings,Central,23.076,2019-01-01
CA-2019-158806,NM-18520,7/1/2019,"Xerox 212","Office Supplies",Paper,Central,25.92,2019-01-01
US-2019-100461,JO-15145,8/1/2019,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Central,1565.88,2019-01-01
US-2019-100461,JO-15145,8/1/2019,"Plastic Binding Combs","Office Supplies",Binders,Central,106.05,2019-01-01
US-2019-137295,VS-21820,8/1/2019,"XtraLife ClearVue Slant-D Ring Binder, White, 3""","Office Supplies",Binders,South,30.828,2019-01-01
US-2019-137295,VS-21820,8/1/2019,"Newell 319","Office Supplies",Art,South,47.616,2019-01-01
US-2019-137295,VS-21820,8/1/2019,"Avaya 5410 Digital phone",Technology,Phones,South,108.784,2019-01-01
CA-2019-108882,LA-16780,9/1/2019,"Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning",Technology,Accessories,West,349.95,2019-01-01
CA-2019-108882,LA-16780,9/1/2019,"netTALK DUO VoIP Telephone Service",Technology,Phones,West,377.928,2019-01-01
CA-2019-126543,MF-17665,9/1/2019,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Furniture,Furnishings,East,15.168,2019-01-01
CA-2019-116547,KB-16585,10/1/2019,"24-Hour Round Wall Clock",Furniture,Furnishings,West,79.92,2019-01-01
CA-2019-116547,KB-16585,10/1/2019,"Logitech Media Keyboard K200",Technology,Accessories,West,69.98,2019-01-01
CA-2019-163937,JB-16000,10/1/2019,"DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings,West,24.85,2019-01-01
CA-2019-126529,DE-13255,11/1/2019,"Xerox 2","Office Supplies",Paper,East,15.552,2019-01-01
CA-2019-126529,DE-13255,11/1/2019,"Xerox 1935","Office Supplies",Paper,East,63.312,2019-01-01
CA-2019-126529,DE-13255,11/1/2019,"Cyber Acoustics AC-202b Speech Recognition Stereo Headset",Technology,Phones,East,15.588,2019-01-01
CA-2019-141887,MP-17470,11/1/2019,"Ultra Door Push Plate",Furniture,Furnishings,East,54.992,2019-01-01
CA-2019-133368,AG-10675,14/1/2019,"Xerox 1882","Office Supplies",Paper,South,89.568,2019-01-01
CA-2019-133368,AG-10675,14/1/2019,"Electrix Fluorescent Magnifier Lamps & Weighted Base",Furniture,Furnishings,South,315.776,2019-01-01
CA-2019-152072,Dp-13240,15/1/2019,"Quality Park Security Envelopes","Office Supplies",Envelopes,East,52.34,2019-01-01
CA-2019-152072,Dp-13240,15/1/2019,"American Pencil","Office Supplies",Art,East,4.66,2019-01-01
CA-2019-152072,Dp-13240,15/1/2019,"Logitech Gaming G510s - Keyboard",Technology,Accessories,East,254.97,2019-01-01
CA-2019-140746,RC-19825,15/1/2019,"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables,East,181.797,2019-01-01
CA-2019-137848,WB-21850,15/1/2019,"#10 Gummed Flap White Envelopes, 100/Box","Office Supplies",Envelopes,East,16.52,2019-01-01
CA-2019-137848,WB-21850,15/1/2019,"Xerox 1959","Office Supplies",Paper,East,60.12,2019-01-01
CA-2019-137848,WB-21850,15/1/2019,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""","Office Supplies",Binders,East,49.536,2019-01-01
CA-2019-166912,BE-11335,15/1/2019,"Xerox 1893","Office Supplies",Paper,East,81.98,2019-01-01
CA-2019-121755,EH-13945,16/1/2019,"Wilson Jones Active Use Binders","Office Supplies",Binders,West,11.648,2019-01-01
CA-2019-121755,EH-13945,16/1/2019,"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",Technology,Accessories,West,90.57,2019-01-01
CA-2019-116736,CC-12430,17/1/2019,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,Furnishings,East,322.59,2019-01-01
CA-2019-116736,CC-12430,17/1/2019,"Logitech 910-002974 M325 Wireless Mouse for Web Scrolling",Technology,Accessories,East,29.99,2019-01-01
CA-2019-116736,CC-12430,17/1/2019,"Logitech G19 Programmable Gaming Keyboard",Technology,Accessories,East,371.97,2019-01-01
CA-2019-106558,DL-13495,17/1/2019,"First Data FD10 PIN Pad",Technology,Accessories,South,316,2019-01-01
US-2019-167339,TD-20995,21/1/2019,"Global Super Steno Chair",Furniture,Chairs,West,153.568,2019-01-01
US-2019-167339,TD-20995,21/1/2019,"Global Ergonomic Managers Chair",Furniture,Chairs,West,1013.488,2019-01-01
CA-2019-111010,PG-18895,22/1/2019,"Bagged Rubber Bands","Office Supplies",Fasteners,East,7.56,2019-01-01
US-2019-135923,CM-11935,22/1/2019,"Eldon Pizzaz Desk Accessories",Furniture,Furnishings,South,14.272,2019-01-01
US-2019-135923,CM-11935,22/1/2019,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,South,451.136,2019-01-01
US-2019-135923,CM-11935,22/1/2019,"Fellowes Mighty 8 Compact Surge Protector","Office Supplies",Appliances,South,64.864,2019-01-01
CA-2019-138079,AJ-10795,22/1/2019,"Contract Clock, 14"", Brown",Furniture,Furnishings,West,109.9,2019-01-01
CA-2019-146318,MC-17275,22/1/2019,"Xerox 218","Office Supplies",Paper,West,12.96,2019-01-01
CA-2019-125850,FP-14320,22/1/2019,"Avery 475","Office Supplies",Labels,West,44.4,2019-01-01
CA-2019-125850,FP-14320,22/1/2019,"Avery 476","Office Supplies",Labels,West,20.65,2019-01-01
CA-2019-148208,BT-11530,22/1/2019,"Panasonic Kx-TS550",Technology,Phones,East,110.376,2019-01-01
CA-2019-148208,BT-11530,22/1/2019,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,East,55.176,2019-01-01
US-2019-155180,TB-21280,22/1/2019,"Wilson Jones data.warehouse D-Ring Binders with DublLock","Office Supplies",Binders,East,26.336,2019-01-01
CA-2019-113656,CB-12415,23/1/2019,"DAX Cubicle Frames, 8-1/2 x 11",Furniture,Furnishings,West,59.99,2019-01-01
US-2019-165505,CB-12535,23/1/2019,"Logitech Wireless Marathon Mouse M705",Technology,Accessories,East,99.98,2019-01-01
US-2019-165505,CB-12535,23/1/2019,"4009 Highlighters","Office Supplies",Art,East,8.04,2019-01-01
US-2019-165505,CB-12535,23/1/2019,"Iceberg Mobile Mega Data/Printer Cart","Office Supplies",Storage,East,1564.29,2019-01-01
CA-2019-109407,HG-14965,24/1/2019,"XtraLife ClearVue Slant-D Ring Binders by Cardinal","Office Supplies",Binders,South,31.36,2019-01-01
CA-2019-153346,TB-21355,25/1/2019,"Dixon Ticonderoga Maple Cedar Pencil, #2","Office Supplies",Art,East,9.21,2019-01-01
CA-2019-153346,TB-21355,25/1/2019,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""","Office Supplies",Paper,East,18,2019-01-01
CA-2019-168046,JD-15895,25/1/2019,"GBC Standard Recycled Report Covers, Clear Plastic Sheets","Office Supplies",Binders,East,43.12,2019-01-01
CA-2019-168046,JD-15895,25/1/2019,"Chromcraft Round Conference Tables",Furniture,Tables,East,313.722,2019-01-01
CA-2019-168046,JD-15895,25/1/2019,"Tenex B1-RE Series Chair Mats for Low Pile Carpets",Furniture,Furnishings,East,45.98,2019-01-01
CA-2019-168046,JD-15895,25/1/2019,"SAFCO Commercial Wire Shelving, 72h","Office Supplies",Storage,East,428.68,2019-01-01
CA-2019-146437,HG-14965,28/1/2019,"Newell 345","Office Supplies",Art,West,39.68,2019-01-01
CA-2019-164483,JF-15490,30/1/2019,"Heavy-Duty E-Z-D Binders","Office Supplies",Binders,West,17.456,2019-01-01
CA-2019-153661,SC-20725,30/1/2019,"File Shuttle II and Handi-File, Black","Office Supplies",Storage,West,305.01,2019-01-01
CA-2019-153661,SC-20725,30/1/2019,"GBC Wire Binding Strips","Office Supplies",Binders,West,50.784,2019-01-01
CA-2019-153661,SC-20725,30/1/2019,"Avery 512","Office Supplies",Labels,West,26.01,2019-01-01
US-2019-166660,TB-21250,30/1/2019,"Global Deluxe High-Back Office Chair in Storm",Furniture,Chairs,West,435.168,2019-01-01
US-2019-166660,TB-21250,30/1/2019,"O'Sullivan 2-Shelf Heavy-Duty Bookcases",Furniture,Bookcases,West,48.58,2019-01-01
CA-2019-114944,HE-14800,30/1/2019,"Xerox 1943","Office Supplies",Paper,Central,156.512,2019-01-01
CA-2019-168032,DF-13135,30/1/2019,"Nokia Lumia 1020",Technology,Phones,Central,1439.968,2019-01-01
CA-2019-168032,DF-13135,30/1/2019,"Avery Durable Binders","Office Supplies",Binders,Central,1.728,2019-01-01
CA-2019-168032,DF-13135,30/1/2019,"Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables",Furniture,Tables,Central,626.1,2019-01-01
CA-2019-129238,SC-20050,31/1/2019,"AT&T 1080 Phone",Technology,Phones,West,109.592,2019-01-01
CA-2019-129238,SC-20050,31/1/2019,"Easy-staple paper","Office Supplies",Paper,West,56.7,2019-01-01
CA-2019-147970,AB-10150,31/1/2019,"Xerox 1994","Office Supplies",Paper,Central,15.552,2019-01-01
CA-2019-158043,JK-15325,31/1/2019,"Staple envelope","Office Supplies",Envelopes,East,23.36,2019-01-01
CA-2019-159891,BF-11170,31/1/2019,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","Office Supplies",Binders,South,1270.99,2019-01-01
CA-2019-159891,BF-11170,31/1/2019,"#10 White Business Envelopes,4 1/8 x 9 1/2","Office Supplies",Envelopes,South,125.36,2019-01-01
US-2019-140809,CK-12760,1/2/2019,"X-Rack File for Hanging Folders","Office Supplies",Storage,South,56.45,2019-02-01
CA-2019-154067,SM-20950,1/2/2019,"Xerox 1883","Office Supplies",Paper,West,1105.52,2019-02-01
CA-2019-147431,AB-10105,2/2/2019,"Belkin 19"" Center-Weighted Shelf, Gray","Office Supplies",Storage,East,117.96,2019-02-01
CA-2019-158841,SE-20110,2/2/2019,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,South,4749.95,2019-02-01
CA-2019-158841,SE-20110,2/2/2019,"Presstex Flexible Ring Binders","Office Supplies",Binders,South,36.4,2019-02-01
CA-2019-158841,SE-20110,2/2/2019,"Acrylic Self-Standing Desk Frames",Furniture,Furnishings,South,18.69,2019-02-01
CA-2019-144645,NS-18640,2/2/2019,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Furniture,Furnishings,Central,73.784,2019-02-01
CA-2019-118514,LC-17050,3/2/2019,"Hon Multipurpose Stacking Arm Chairs",Furniture,Chairs,South,866.4,2019-02-01
CA-2019-117912,TB-21520,4/2/2019,"Nu-Dell Float Frame 11 x 14 1/2",Furniture,Furnishings,West,14.368,2019-02-01
