product_name,total_revenue
"3D Systems Cube Printer, 2nd Generation, Magenta",14334.89
"Canon imageCLASS 2200 Advanced Copier",14076.824
"Hewlett Packard LaserJet 3310 Copier",13837.732
"GBC DocuBind TL300 Electric Binding System",12890.258
"GBC DocuBind P400 Electric Binding System",12577.108
"Samsung Galaxy Mega 6.3",12370.708
"Martin Yale Chadless Opener Electric Letter Opener",12268.902
"HON 5400 Series Task Chairs for Big and Tall",11887.562
"Global Troy Executive Leather Low-Back Tilter",10217.894
"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",9756.524
